Period,"Manufacture of textiles, wearing apparel, leather and related products_No. (000)",Other manufacturing_No. (000),Foundation and superstructure_No. (000),"Decoration, repair and maintenance for buildings_No. (000)",Import and export trade_No. (000),Wholesale_No. (000),Retail_No. (000),Accommodation[3] and  food services_No. (000),Transportation and storage_No. (000),Postal and courier activities_No. (000),Information and communications_No. (000),Financing_No. (000),Insurance_No. (000),Real estate_No. (000),Professional and business services_No. (000),Public administration_No. (000),Education_No. (000),Human health and social work activities _No. (000),"Arts, entertainment and recreation_No. (000)",Other service activities_No. (000),Other industries_No. (000),Overall_No. (000)
2008,36.3,129.4,202.4,63,541.7,47.1,292.6,259.2,303.8,20.6,109.4,160.8,43.2,134.1,300.7,115.9,173.5,152.1,47.9,353.9,21.5,3509.1
2009,30.8,119.1,201.5,60.9,519.6,42.5,291,253.6,299.2,19.4,104.8,164.4,45.2,132.6,294.4,103.7,183.5,164.6,50.4,364.8,21.4,3467.6
2010,25.2,107.6,198.4,66.5,504.9,42.2,299.4,258.4,298.7,18,105.4,163.3,42.9,146.2,288.9,110.5,185.2,162.9,52.1,373.9,23.4,3474.1
2011,23.5,109.4,206.4,70.7,495.7,43.1,312.3,265.6,299.5,18,116.7,173.4,47.1,146.5,309,107.1,196.4,168.7,54.1,389.2,24.1,3576.4
2012,20.4,113,222.3,67.8,513,48.9,320.7,266.3,296.4,17.6,120.1,177.8,49.5,148.9,314.5,105.2,198.9,180,53.1,399.7,24,3658
2013,18,108.3,236.4,72.7,475.8,46.6,331.7,277.6,304.7,17.7,121.9,180.8,50.3,150.6,332.5,111.2,199.9,188.8,56.5,418.7,23.4,3724
2014,18.5,111.5,239.1,70.6,453.6,48.6,344,289.4,303.6,18.1,123.9,182.4,54.6,154.2,341.3,108.5,205.6,179.5,56.2,417.6,22.6,3743.5
2015,14.6,98.9,244.3,72.4,436.6,43.6,340.2,284.9,303.6,19.9,131.1,184.5,56.4,154.9,354.4,111.2,217,192.6,59.3,428.4,25.1,3773.8
2016,14.6,103.2,255.1,73.3,421.4,44.1,333.2,286.3,295.6,19,135.1,184.9,61.1,150.9,365.4,114.4,214.2,195,58.2,436.2,26,3787.1
2017,13.4,98.3,263.4,79.4,411.3,39.3,344,294.9,300.2,19.2,135.2,190.2,68.1,158,364.3,114.9,216.6,203.9,58.1,438.5,21.2,3832.4
2018,11.6,92.2,269.9,82.4,409.9,37.4,335.2,297.7,299.7,18.4,135.2,200.1,68.3,160.4,368.5,116.9,227.9,213.5,58.2,457.7,23.6,3884.6
2019,9,95.7,264.5,74.1,360.6,30.7,316.8,294.9,297.8,18.9,135.1,209.5,72.9,163,394.3,120.7,233.4,226.1,59.3,468.5,25.7,3871.4
2020,9.2,95.3,239.8,70.9,310.7,20.6,277.5,242.8,279.7,20.7,137.1,217.9,69.5,158.4,406.8,127.2,226.5,238.2,53.1,465.7,23.3,3690.9
2021,6,88.2,255,70.9,298.9,17.5,268.6,247.5,274.5,22.9,132.8,217.8,69.9,164.8,409.8,135.1,221.2,234.5,52.6,458.7,22.9,3670.2
1/2008 - 3/2008,38,128.8,203,57.8,544.4,44.1,286.6,260.1,304.6,23.1,107,155.1,47.1,131.6,299.1,125.4,174.4,151.7,40.4,363.5,23.7,3509.5
2/2008 - 4/2008,40.6,133.6,200.5,55.7,540.8,45.5,287.3,261.6,304.5,22.7,104,160,48.3,134.8,298.8,121.1,170.4,148.4,44.3,362,24.4,3509.1
3/2008 - 5/2008,39,131.8,200.9,54.9,539.8,47.3,285,257.5,305.5,21.8,107.4,161.2,43.8,137.2,299.2,120.9,175.3,144.9,48.5,360.1,24.2,3506.1
4/2008 - 6/2008,36.1,134.6,201.1,55.8,533.3,50.7,291.4,252,304.7,21.7,110.7,165.5,44.1,136.9,298.1,114.3,172.2,144.9,53.5,361.2,23.5,3506.3
5/2008 - 7/2008,35.4,132.1,203.9,59.3,544.6,51.8,292.6,252.8,298.9,21.1,111.4,165.2,42.3,133.8,306.3,113.3,166.2,152.4,54.1,349.7,21.1,3508.4
6/2008 - 8/2008,34.2,130.1,203.5,62.5,548.2,49.7,295.9,257.3,300.1,22.2,111.8,170.6,40.9,133.8,308.6,113,165.8,151.3,52.8,348,19,3519.5
7/2008 - 9/2008,33.4,129.1,204.4,66.2,544.9,48.5,293,261.9,298.3,20.8,115.1,166.3,41,132,308.3,114,166.9,153.2,49,345.1,20.3,3511.7
8/2008 - 10/2008,34.5,133,199.5,70.2,539,48.6,289.8,261.4,300,19,111.8,163.9,39.3,135.6,306.5,112.7,177.4,154.3,45,347.5,19.6,3508.8
9/2008 - 11/2008,32.7,135.6,197.3,69.5,537.6,49,292.9,258.4,301.4,18.7,107.5,161.6,41.4,135.8,300.3,110.6,176.5,159.3,44.7,346.9,19.5,3497.1
10/2008 - 12/2008,36.3,131.1,196.7,71.6,543.7,46,299.1,257.8,304.7,16.4,104.6,159.4,40.3,138.6,297.3,108.8,180.2,159.6,45.2,349.9,19.4,3506.7
11/2008 - 1/2009,31.9,124.7,201.6,68,542.8,42.4,300.1,252.2,302.7,18.5,106.7,159.6,40.3,139.3,291.6,106.6,179.3,165,44.8,357.9,18.7,3494.7
12/2008 - 2/2009,35,122,199.8,61.5,555.6,41.7,298.6,250.6,292.3,19.7,103.5,157.3,41.2,133.8,299,105.8,181.2,167.7,43.4,358.1,20.6,3488.3
1/2009 - 3/2009,33.9,123.2,203.3,55.4,540.1,43.3,292.4,251.1,291.5,20.8,100.7,157.4,41.6,137.9,304.7,103.2,181.8,167.4,46.1,361.3,22.4,3479.5
2/2009 - 4/2009,31.2,122.4,201.7,49.8,530,44.8,289.4,251.5,292.5,20.1,101.9,158.7,42.1,134.3,303,103.4,185,167.7,46.2,368.7,23.2,3467.6
3/2009 - 5/2009,33.3,124.8,199.9,52.7,513.4,45.2,292.4,252.1,294.7,18,105.2,164.9,44,136.4,296.6,104.5,187.9,165.2,48.1,376.4,24.1,3479.8
4/2009 - 6/2009,30.6,129.3,198.5,54.8,510.2,44.8,291.7,248.7,292.5,18,107.1,166.3,47.2,134.7,292.6,102.5,190.3,165.6,48.2,373.9,23.1,3470.5
5/2009 - 7/2009,33.1,126,193.2,60.3,513.3,43.4,290.8,251.5,304.8,17.2,104.9,167.4,49.5,131.4,300,102.6,183,160.5,52,361.1,22.8,3468.9
6/2009 - 8/2009,29.3,125.7,190.5,62,517.7,43.2,288,250.5,310.9,17.4,108.6,168.6,48.1,129.2,299.6,102.3,181.5,160.1,53.1,355.6,21.6,3463.6
7/2009 - 9/2009,30.6,121.7,187.1,69.3,518.8,40.4,289.6,253.7,310.7,18.7,109.6,167.1,49.4,123.8,296.6,105.4,182,161.4,51.1,358.8,20.4,3466.1
